date,location,plant_id,vigor,inflorescences,fruits,avg_height,avg_width,notes,zone
8/27/20,Plover Area,101,4,X,X,X,X,dead,Ridge
8/27/20,Plover Area,102,1,600,<10k,97,194,,Ridge
8/27/20,Plover Area,103,1,704,<10k,83,166,,Slope
8/27/20,Plover Area,104,1,209,5k - 10k,52,104,seedlings,Slope
8/27/20,Plover Area,105,4,x,x,x,x,dead,Swale
8/27/20,Plover Area,106,1,112,1k - 5k,61,122,seedlings,Swale
8/27/20,Plover Area,107,1,260,5k - 10k,82,164,,Swale
8/27/20,Plover Area,108,4,X,X,X,X,dead,Slope
8/27/20,Plover Area,109,1,572,<10k,72,144,,Slope
8/27/20,Plover Area,110,4,X,X,X,X,dead,Swale
8/27/20,Plover Area,111,1,527,<10k,71,142,,Slope
8/27/20,Plover Area,112,1,527,<10k,74,148,,Slope
8/27/20,Plover Area,113,1,160,1k - 5k,79,158,,Slope
8/27/20,Plover Area,114,1,153,1k - 5k,61,122,,Swale
8/27/20,Plover Area,201,1,450,<10k,86,172,,Slope
8/27/20,Plover Area,202,3,0,0,14,28,pathogen/mildew,Slope
8/27/20,Plover Area,203,3,0,0,58,116,pathogen/mildew,Slope
8/27/20,Plover Area,204,1,510,<10k,75,150,,Slope
8/27/20,Plover Area,205,4,X,X,X,X,dead,Swale
8/27/20,Plover Area,206,1,960,<10k,98,196,,Slope
8/27/20,Plover Area,207,1,510,<10k,81,162,,Slope
8/27/20,Plover Area,208,3,0,0,31,62,pathogen/mildew,Slope
8/27/20,Plover Area,209,1,330,5k - 10k,85,170,,Slope
8/27/20,Plover Area,210,4,X,X,X,X,dead,Swale
8/27/20,Plover Area,211,1,144,1k - 5k,72,144,,Slope
8/27/20,Plover Area,212,1,510,<10k,81,162,,Slope
8/27/20,Plover Area,213,1,195,1k - 5k ,74,148,,Ridge
8/27/20,Plover Area,214,4,X,X,X,X,dead,Slope
8/27/20,Plover Area,215,1,510,<10k,75,150,,Slope
8/27/20,Plover Area,216,1,1040,<10k,98,196,,Slope
8/27/20,Plover Area,217,1,~1040,~ <10K,94,188,,Ridge
8/27/20,Plover Area,218,1,775,<10k,92,184,,Ridge
8/27/20,Plover Area,219,4,X,X,X,X,dead,Ridge
8/27/20,Plover Area,220,1,252,5k - 10k,59,118,,Ridge
8/27/20,Plover Area,221,3,0,0,43,86,,Slope
8/27/20,Plover Area,222,1,510,<10k,110,220,,Ridge
8/27/20,Plover Area,223,1,450,5k-10k,92,184,,Ridge
8/27/20,Plover Area,224,3,200,1k - 5k,61,122,pathogen/mildew,Ridge
8/27/20,Plover Area,225,1,500,10k,74,148,,Ridge
8/27/20,Plover Area,226,1,95,1k - 5k,60,120,,Ridge
8/27/20,Plover Area,301,1,600,<10k,91,182,,Slope
8/27/20,Plover Area,302,1,1000,<10k,97,194,,Slope
8/27/20,Plover Area,303,1,1000,<10k,97,194,,Ridge
8/27/20,Plover Area,304,1,440,5k - 10k,77,154,,Ridge
8/27/20,Plover Area,305,1,440,5k - 10k,81,162,,Swale
8/27/20,Plover Area,306,1,420,5k - 10k,120,240,,Slope
8/27/20,Plover Area,307,1,1000,<10k,115,230,,Swale
8/27/20,Plover Area,308,1,1000,<10k,115,230,,Ridge
8/27/20,Plover Area,309,1,750,<10k,97,194,,Ridge
8/27/20,Plover Area,310,1,750,<10k,97,194,,Ridge
8/27/20,Plover Area,311,1,1000,<10k,98,196,,Slope
8/27/20,Plover Area,312,1,315,5k - 10k,77,154,,Ridge
8/27/20,Plover Area,313,1,1000,<10k,126,252,,Slope
8/27/20,Plover Area,314,1,500,<10k,74,146,,Ridge
8/27/20,Plover Area,315,1,880,<10k,87,174,,Slope
