plant_id,maternal_accession,lineage,date_sown,date_planted,location,latitude,longitude,zone,aspect,distance_mulefat,direction_mulefat,height,large_stems,flowering_stems,viable_infructescences,inviable_infructescences,vigor,soil_additives,notes,rain_notes
218,*******,missing tag,,10/31/19,Plover Area,34.41823978,-119.8764361,Ridge,N,1.5,N,26,2,0,0,,2,2.5 Gallons Lagoon Island Loam mixed in bottom of hole,Missing tag,"highly eroded, soil sunken"
619,*******,missing tag,,11/21/19,Plover Area,34.41843121,-119.8764775,Swale,S,2.5,S,59,1,0,0,,2,,,earwig found on plant
620,*******,missing tag,,11/21/19,Plover Area,34.41846628,-119.8764775,Slope,N,3.5,NW,30,1,0,0,,2,,,
103,A2051,2,12/11/18,10/18/19,Plover Area,34.41821475,-119.8764703,Slope,S,2,SW,80,1,1,0,6,2,,Earwig and ladybug were wrapped in VMMV leaves with aborted or eaten fruit cluster ,"weedy, Festuca perennis germinating"
105,A2051,2,12/11/18,10/18/19,Plover Area,34.41822087,-119.8764552,Swale,N,1,SE,19,3,1,3,,2,,Spinosad applied,
201,A2051,2,12/11/18,10/24/19,Plover Area,34.41826497,-119.8765359,Slope,S,2,SW,43,3,1,1,4,2,,*pill bugs from nursery?,
217,A2051,2,12/11/18,10/24/19,Plover Area,34.41825825,-119.8764379,Ridge,S,1,E,31,3,1,9,,2,,,
222,A2051,2,12/11/18,10/24/19,Plover Area,34.41823742,-119.8764228,Ridge,S,1,E,99,3,1,4,2,1,,,earwig found on leaves
223,A2051,2,12/11/18,10/24/19,Plover Area,34.418243,-119.8764137,Ridge,S,1.5,W,35,3,0,0,,2,,,
224,A2051,2,12/11/18,10/24/19,Plover Area,34.41827712,-119.8764158,Ridge,N,1,S,43,2,1,1,2,2,,,
301,A2051,2,12/11/18,10/24/19,Plover Area,34.41827618,-119.8765437,Slope,S,1,N,44,4,0,0,,2,,,
316,A2051,2,12/11/18,10/24/19,Plover Area,34.41830831,-119.8764745,Slope,N,1,NE,40,2,1,4,1,2,,,
320,A2051,13,1/9/19,11/21/09,Plover Area,34.4183372,-119.8764594,Swale,N,3.5,SE,74,1,1,2,,2,,,
323,A2051,13,1/9/19,11/21/09,Plover Area,34.41832326,-119.8764392,Ridge,S,2,E,21,1,0,0,,2,,,
326,A2051,2,12/11/18,10/24/19,Plover Area,34.41831471,-119.8764307,Ridge,S,1,SE,43,3,0,0,,2,,,
423,A2051,13,1/9/19,11/21/09,Plover Area,34.41835648,-119.876435,Swale,N,3.5,NW,75,1,1,1,,2,,,
503,A2051,2,12/11/18,10/31/19,Plover Area,34.4184003,-119.8765369,Slope,N,1,E,61,3,1,0,2,2,,,
616,A2051,2,12/11/18,10/31/19,Plover Area,34.41844644,-119.8765013,Slope,S,3,SE,65,4,1,2,1,1,,,
622,A2051,13,1/9/19,11/21/19,Plover Area,34.41846366,-119.8764457,Slope,N,4.5,W,52,1,0,0,,1,,,
623,A2051,13,1/9/19,11/21/19,Plover Area,34.41845517,-119.876447,Slope,S,5.5,W,64,1,0,0,,1,,,
625,A2051,13,1/9/19,11/21/19,Plover Area,34.41845699,-119.8764301,Slope,S,6,W,34,2,1,3,,1,3 double handfuls sifted compost mixed in bottom of hole,,
626,A2051,13,1/9/19,11/21/19,Plover Area,34.4184392,-119.8764403,Slope,S,5,S,26,3,0,0,,2,,,
708,A2051,2,12/11/18,10/31/19,Plover Area,34.41850823,-119.8765221,Slope,S,1,W,65,2,1,2,1,1,,,
714,A2051,2,12/11/18,11/21/19,Plover Area,34.4184813,-119.8764994,Slope,N,1.5,W,12,0,0,0,,2,,,very small plant
720,A2051,13,1/9/19,11/21/19,Plover Area,34.41847626,-119.8764627,Slope,S,3,W,34,2,0,0,,2,4 double handfuls sifted compost mixed in bottom of hole,,
728,A2051,13,1/9/19,11/21/19,Plover Area,34.4184761,-119.8764093,Slope,S,6,W,21,2,1,1,,2,,,lots of nn weeds nearby
1009,A2051,13,1/9/19,11/21/19,Plover Area,34.41859422,-119.8765118,Ridge,N,3,SE,21,1,2,0,,2,,,
1018,A2051,13,1/9/19,11/21/19,Plover Area,34.41860898,-119.8764669,Ridge,N,7.5,SE,56,3,1,0,2,2,,,
