date,location,plant_id,height_cm,short_stems,ft_stems,vigor,notes,inflorescences,fruits,avg_height,avg_width,zone,maternal_accession,lineage
1/16/20,Plover Area,101,86,8,2,1,,,,,,Ridge,A3002,4
1/16/20,Plover Area,102,24,12,3,1,weedy,,,,,Ridge,A3002,4
1/16/20,Plover Area,103,78,2,3,2,predation on weeds,,,,,Slope,A2051,2
1/16/20,Plover Area,104,63,8,2,3,,,,,,Slope,B4001,1
1/16/20,Plover Area,105,16,7,2,2,,,,,,Swale,A2051,2
1/16/20,Plover Area,106,21,8,2,2,,,,,,Swale,A3002,4
1/16/20,Plover Area,107,58,8,3,2,Red tissue growth,,,,,Swale,B4001,1
1/16/20,Plover Area,108,65,12,2,2,,,,,,Slope,B4001,1
1/16/20,Plover Area,109,70,10,2,2,aphids,,,,,Slope,A3002,4
1/16/20,Plover Area,110,69,0,1,3,sumberged,,,,,Swale,A3002,4
1/16/20,Plover Area,111,26,9,4,2,,,,,,Slope,B227,5
1/16/20,Plover Area,112,69,8,2,2,,,,,,Slope,A3015,3
1/16/20,Plover Area,113,65,9,1,2,,,,,,Slope,A3002,4
1/16/20,Plover Area,114,71,9,2,2,,,,,,Swale,B4001,1
1/16/20,Plover Area,201,59,3,5,2,,,,,,Slope,A2051,2
1/16/20,Plover Area,202,35,6,1,2,,,,,,Slope,A3002,4
1/16/20,Plover Area,203,12,8,3,1,,,,,,Slope,B227,5
1/16/20,Plover Area,204,14,11,2,2,,,,,,Slope,A3002,4
1/16/20,Plover Area,205,21,0,3,3,burried,,,,,Swale,A3015,3
1/16/20,Plover Area,206,69,7,2,2,,,,,,Slope,A3002,4
1/16/20,Plover Area,207,22,10,2,2,,,,,,Slope,B227,5
1/16/20,Plover Area,208,11,9,2,2,,,,,,Slope,B227,5
1/16/20,Plover Area,209,35,10,3,2,,,,,,Slope,A3015,3
1/16/20,Plover Area,210,92,8,1,3,,,,,,Swale,A3002,4
1/16/20,Plover Area,211,44,5,2,3,,,,,,Slope,B227,5
1/16/20,Plover Area,212,18,9,2,2,,,,,,Slope,B227,5
1/16/20,Plover Area,213,25,8,4,2,,,,,,Ridge,A3002,4
1/16/20,Plover Area,214,31,2,3,3,,,,,,Slope,B227,5
1/16/20,Plover Area,215,32,10,2,2,,,,,,Slope,A3002,4
1/16/20,Plover Area,216,38,8,4,2,,,,,,Slope,A3015,3
1/16/20,Plover Area,217,35,9,3,1,,,,,,Ridge,A2051,2
1/16/20,Plover Area,218,22,6,2,3,,,,,,Ridge,,
