date,parent_plant_id,total_seedlings,large_seedlings,small_seedlings,notes,series,seedling_id,basal_stems,flowering,vigor,zone,maternal_accession,lineage
5/20/20,104,1,1,,,,,,,,slope,B4001,1
5/20/20,107,15,15,,Cluster of seedlings (~3in diameter),,,,,,swale,B4001,1
5/20/20,109,1,1,,,,,,,,slope,A3002,4
5/20/20,216,6,2,4,,,,,,,slope,A3015,3
5/20/20,217,16,5,11,,,,,,,ridge,A2051,2
5/20/20,218,1,1,,,,,,,,ridge,,
5/20/20,219,4,2,2,,,,,,,ridge,B4001,1
5/20/20,220,11,11,,,,,,,,ridge,A3015,3
5/20/20,225,1,,1,,,,,,,ridge,A3051,7
5/20/20,303,3,3,,,,,,,,ridge,B4001,15
5/20/20,305,7,7,,,,,,,,swale,B227,17
5/20/20,306,3,3,,,,,,,,slope,A3002,4
5/20/20,312,7,6,1,,,,,,,ridge,A3003,16
5/20/20,317,1,1,,,,,,,,ridge,B227,5
5/20/20,318,15,2,13,,,,,,,ridge,A3003,16
5/20/20,319,1,,1,near dead,,,,,,ridge,A3003,16
5/20/20,322,8,8,,,,,,,,slope,B4001,1
5/20/20,326,7,7,,,,,,,,ridge,A2051,2
5/20/20,415,1,1,,,,,,,,swale,A3051,7
5/20/20,421,2,2,,,,,,,,swale,B227,17
5/20/20,507,2,2,,,,,,,,ridge,B227,5
5/20/20,521,10,10,,Cluster of seedlings (~3in diameter),,,,,,slope,A3041,6
5/20/20,612,2,2,,,,,,,,ridge,B4001,15
5/20/20,613,1,1,,,,,,,,slope,A3015,3
5/20/20,614,10,10,,Cluster of seedlings (~4in diameter),,,,,,slope,B4001,15
5/20/20,707,2,2,,,,,,,,slope,B29R,9
5/20/20,715,38,20,18,,,,,,,slope,A3041,6
5/20/20,719,2,2,,,,,,,,slope,A3003,16
5/20/20,903,1,1,,,,,,,,slope,A3003,8
5/20/20,905,1,1,,,,,,,,slope,A3041,12
5/20/20,908,1,1,,,,,,,,swale,A3041,12
5/20/20,909,1,1,,,,,,,,slope,A3041,12
5/20/20,910,10,8,2,,,,,,,slope,A3051,11
5/20/20,1001,2,2,,,,,,,,slope,B4001,15
5/20/20,1005,4,4,,,,,,,,ridge,B4001,15
5/20/20,1007,3,3,,,,,,,,ridge,A3003,16
5/20/20,1018,2,1,1,,,,,,,ridge,A2051,13
4/20/20,104,1,1,,,,,,,,slope,B4001,1
4/20/20,216,2,,2,,,,,,,slope,A3015,3
4/20/20,217,15,10,5,,,,,,,ridge,A2051,2
4/20/20,220,14,2,12,,,,,,,ridge,A3015,3
4/20/20,221,1,1,,,,,,,,slope,A3015,3
4/20/20,301,1,1,,,,,,,,slope,A2051,2
4/20/20,312,12,10,2,,,,,,,ridge,A3003,16
4/20/20,317,1,1,,,,,,,,ridge,B227,5
4/20/20,318,14,3,11,,,,,,,ridge,A3003,16
4/20/20,319,1,,1,,,,,,,ridge,A3003,16
4/20/20,320,1,,1,,,,,,,swale,A2051,13
4/20/20,322,5,5,,,,,,,,slope,B4001,1
4/20/20,323,5,4,1,,,,,,,ridge,A2051,13
4/20/20,404,1,1,,,,,,,,ridge,A3041,12
4/20/20,421,2,,2,,,,,,,swale,B227,17
4/20/20,521,11,10,1,,,,,,,slope,A3041,6
4/20/20,615,1,1,,,,,,,,ridge,B227,17
4/20/20,616,8,8,,,,,,,,slope,A2051,2
4/20/20,709,4,,4,,,,,,,slope,B29R,9
4/20/20,715,38,20,18,,,,,,,slope,A3041,6
4/20/20,716,1,1,,,,,,,,slope,B29R,18
4/20/20,719,2,2,,,,,,,,slope,A3003,16
4/20/20,721,1,1,,,,,,,,slope,A3002,10
4/20/20,809,2,1,1,,,,,,,ridge,B29R,9
4/20/20,810,4,4,,,,,,,,ridge,A3051,7
4/20/20,812,1,,1,,,,,,,ridge,B29R,9
